layerID,head,strategy,score
14,3,special_punc_heavy_hitter,0.93359375
14,4,special_punc_heavy_hitter,0.91015625
14,5,special_punch_window_heavy_hitter,0.98046875
14,6,special_punc_heavy_hitter,0.953125
14,7,special_punc_heavy_hitter,0.9453125
14,8,special_punc_heavy_hitter,0.9609375
14,9,special_punc_heavy_hitter,0.921875
14,10,special_punc_heavy_hitter,0.9765625
14,11,special_punc_heavy_hitter,0.9375
14,12,special_punc_heavy_hitter,0.95703125
14,13,special_punc_heavy_hitter,0.96484375
14,14,special_punc_heavy_hitter,0.8984375
14,15,special_punc_heavy_hitter,0.8984375
14,16,special_punc_heavy_hitter,0.93359375
14,17,special_punc_heavy_hitter,0.93359375
14,18,special_punc_heavy_hitter,0.9765625
14,19,special_punc_heavy_hitter,0.9609375
14,20,special_punch_window_heavy_hitter,0.98046875
14,21,special_punc_heavy_hitter,0.92578125
14,22,special_punc_heavy_hitter,0.9296875
14,23,special_punch_window_heavy_hitter,0.98828125
14,24,special_punc_heavy_hitter,0.9609375
14,25,special_punc_heavy_hitter,0.9140625
14,26,special_punc_heavy_hitter,0.9609375
14,27,special_punc_heavy_hitter,0.94921875
14,28,special_punc_heavy_hitter,0.9453125
14,29,special_punc_heavy_hitter,0.94140625
14,30,special_punc_heavy_hitter,0.9140625
14,31,special_punc_heavy_hitter,0.91015625
15,0,special_punc_heavy_hitter,0.98046875
15,1,special_punch_window_heavy_hitter,0.984375
15,2,special_punc_heavy_hitter,0.91015625
15,3,special_punc_heavy_hitter,0.96484375
15,4,special_punc_heavy_hitter,0.94921875
15,5,special_punc_heavy_hitter,0.921875
15,6,special_punc_heavy_hitter,0.9296875
15,7,special_punch_window_heavy_hitter,0.98828125
15,8,special_punc_heavy_hitter,0.91796875
15,9,special_punc_heavy_hitter,0.90625
15,10,special_punch_window_heavy_hitter,0.96875
15,11,special_punch_window_heavy_hitter,1.0
15,12,special_punc_heavy_hitter,0.95703125
15,13,special_punc_heavy_hitter,0.921875
15,14,special_punc_heavy_hitter,0.94921875
15,15,special_punc_heavy_hitter,0.9453125
15,16,special_punch_window_heavy_hitter,0.99609375
15,17,special_punc_heavy_hitter,0.98046875
15,18,special_punc_heavy_hitter,0.96484375
15,19,special_punc_heavy_hitter,0.94140625
15,20,special_punc_heavy_hitter,0.9375
15,21,special_punc_heavy_hitter,0.8984375
15,22,special_punc_heavy_hitter,0.97265625
15,23,special_punch_window_heavy_hitter,0.984375
15,24,special_punc_heavy_hitter,0.9453125
15,25,special_punc_heavy_hitter,0.9140625
15,26,special_punch_window_heavy_hitter,0.99609375
15,27,special_punc_heavy_hitter,0.953125
15,28,special_punc_heavy_hitter,0.9296875
15,29,special_punch_window_heavy_hitter,0.9765625
15,30,special_punc_heavy_hitter,0.9765625
15,31,special_punc_heavy_hitter,0.9375
16,0,special_punc_heavy_hitter,0.9609375
16,1,special_punc_heavy_hitter,0.984375
16,2,special_punc_heavy_hitter,0.9140625
16,3,special_punc_heavy_hitter,0.90234375
16,4,special_punc_heavy_hitter,0.9375
16,5,special_punc_heavy_hitter,0.94921875
16,6,special_punch_window_heavy_hitter,0.98828125
16,7,special_punc_heavy_hitter,0.9375
16,8,special_punc_heavy_hitter,0.98046875
16,9,special_punc_heavy_hitter,0.9453125
16,10,special_punc_heavy_hitter,0.94921875
16,11,special_punc_heavy_hitter,0.92578125
16,12,special_punc_heavy_hitter,0.96484375
16,13,special_punc_heavy_hitter,0.94140625
16,14,special_punch_window_heavy_hitter,0.984375
16,15,special_punc_heavy_hitter,0.921875
16,16,special_punc_heavy_hitter,0.9453125
16,17,special_punc_heavy_hitter,0.9296875
16,18,special_punc_heavy_hitter,0.9375
16,19,special_punc_heavy_hitter,0.9765625
16,20,special_punc_heavy_hitter,0.91015625
16,21,special_punch_window_heavy_hitter,0.9921875
16,22,special_punch_window_heavy_hitter,0.9921875
16,23,special_punc_heavy_hitter,0.97265625
16,24,special_punc_heavy_hitter,0.94921875
16,25,special_punc_heavy_hitter,0.984375
16,26,special_punc_heavy_hitter,0.91796875
16,27,special_punc_heavy_hitter,0.98828125
16,28,special_punc_heavy_hitter,0.9765625
16,29,special_punc_heavy_hitter,0.9765625
16,30,special_punc_heavy_hitter,0.96484375
16,31,special_punc_heavy_hitter,0.921875
17,0,special_punc_heavy_hitter,0.921875
17,1,special_punc_heavy_hitter,0.92578125
17,2,special_punc_heavy_hitter,0.98046875
17,3,special_punc_heavy_hitter,0.94140625
17,4,special_punc_heavy_hitter,0.96484375
17,5,special_punch_window_heavy_hitter,0.9921875
17,6,special_punc_heavy_hitter,0.96484375
17,7,special_punc_heavy_hitter,0.96875
17,8,special_punch_window_heavy_hitter,0.98828125
17,9,special_punc_heavy_hitter,0.98046875
17,10,special_punc_heavy_hitter,0.9375
17,11,special_punc_heavy_hitter,0.96875
17,12,special_punc_heavy_hitter,0.9375
17,13,special_punc_heavy_hitter,0.94140625
17,14,special_punc_heavy_hitter,0.91796875
17,15,special_punc_heavy_hitter,0.94140625
17,16,special_punc_heavy_hitter,0.98046875
17,17,special_punc_heavy_hitter,0.97265625
17,18,special_punc_heavy_hitter,0.94140625
17,19,special_punc_heavy_hitter,0.921875
17,20,special_punc_heavy_hitter,0.953125
17,21,special_punc_heavy_hitter,0.9765625
17,22,special_punc_heavy_hitter,0.9609375
17,23,special_punc_heavy_hitter,0.984375
17,24,special_punc_heavy_hitter,0.9296875
17,25,special_punc_heavy_hitter,0.98828125
17,26,special_punc_heavy_hitter,0.97265625
17,27,special_punc_heavy_hitter,0.9921875
17,28,special_punch_window_heavy_hitter,0.9921875
17,29,special_punc_heavy_hitter,0.9609375
17,30,special_punc_heavy_hitter,0.9453125
17,31,special_punc_heavy_hitter,0.94921875
18,0,special_punc_heavy_hitter,0.98046875
18,1,special_punc_heavy_hitter,0.97265625
18,2,special_punc_heavy_hitter,0.9375
18,3,special_punc_heavy_hitter,0.99609375
18,4,special_punc_heavy_hitter,0.9375
18,5,special_punc_heavy_hitter,0.91015625
18,6,special_punc_heavy_hitter,0.96875
18,7,special_punc_heavy_hitter,0.98046875
18,8,special_punc_heavy_hitter,0.9921875
18,9,special_punc_heavy_hitter,0.921875
18,10,special_punc_heavy_hitter,0.953125
18,11,special_punc_heavy_hitter,0.984375
18,12,special_punc_heavy_hitter,0.96484375
18,13,special_punc_heavy_hitter,0.9375
18,14,special_punc_heavy_hitter,0.94921875
18,15,special_punc_heavy_hitter,0.96484375
18,16,special_punc_heavy_hitter,0.98828125
18,17,special_punc_heavy_hitter,0.9921875
18,18,special_punc_heavy_hitter,0.98046875
18,19,special_punc_heavy_hitter,0.97265625
18,20,special_punc_heavy_hitter,0.98046875
18,21,special_punc_heavy_hitter,0.93359375
18,22,special_punch_window_heavy_hitter,0.9921875
18,23,special_punc_heavy_hitter,0.96875
18,24,special_punc_heavy_hitter,0.95703125
18,25,special_punc_heavy_hitter,0.9296875
